,listing_id,latitude,longitude
10,7211212,40.7145,-73.9425
10000,7150865,40.7947,-73.9667
100004,6887163,40.7388,-74.0018
100007,6888711,40.7539,-73.9677
100013,6934781,40.8241,-73.9493
100014,6894514,40.7429,-74.0028
100016,6930771,40.8012,-73.966
100020,6867392,40.7427,-73.9957
100026,6898799,40.8234,-73.9457
100027,6814332,40.7278,-73.9808
100030,6869199,40.7769,-73.9467
10004,7102986,40.8448,-73.9396
100044,6895442,40.7488,-73.977
100048,6846213,40.7707,-73.9817
10005,7089402,40.7584,-73.9648
100051,6889043,40.7439,-73.9743
100052,6913348,40.7305,-73.983
100053,6894111,40.8643,-73.928
100055,6900220,40.7999,-73.9638
100058,6848536,40.7328,-73.9799
100062,6858062,40.7454,-73.9845
100063,6836760,40.7427,-73.9794
100065,6866830,40.7447,-73.9741
100066,6885927,40.7074,-74.0081
10007,7120132,40.7391,-73.9936
100071,6933499,40.7584,-73.9653
100075,6921632,40.7728,-73.9502
100076,6913084,40.7709,-73.9917
100079,6907079,40.8335,-73.9141
100081,6925264,40.7716,-73.9506
100083,6904268,40.7897,-73.976
100084,6821944,40.7902,-73.9678
100085,6912559,40.7179,-74.0148
100087,6898884,40.7301,-73.9942
10009,7176319,40.844,-73.9404
100090,6890107,40.79,-73.9418
100096,6821706,40.8184,-73.9389
100098,6885742,40.7649,-73.9763
100099,6832226,40.7471,-73.9867
10010,7230670,40.753,-73.9959
100100,6890563,40.7231,-74.0044
100102,6860485,40.7723,-73.9533
100107,6896742,40.7753,-73.954
100112,6942606,40.7739,-73.9511
100113,6846026,40.8031,-73.957
100115,6923614,40.7975,-73.9626
100117,6941997,40.7372,-73.9981
100119,6846938,40.7479,-74.0005
10012,7190105,40.7802,-73.9504
100124,6856713,40.7377,-73.9831
100127,6908135,40.7263,-73.8573
100129,6944369,40.7267,-73.8569
100131,6861960,40.7817,-73.9573
100132,6847390,40.789,-73.9756
100133,6816227,40.7522,-73.9702
100136,6859368,40.7059,-73.8339
100137,6907631,40.7943,-73.9675
100138,6923973,40.7699,-73.9565
100139,6927880,40.766,-73.9914
10014,7127110,40.6888,-73.9522
100140,6916033,40.7493,-73.7142
